EU rejects German call to boycott British lamb .	B-ORG O B-MISC O O O B-MISC O O
Stoke 2 Manchester City 1	B-ORG O B-ORG I-ORG O
Swindon 1 Port Vale 1	B-ORG O B-ORG I-ORG O
Wolverhampton 1 Bradford 0	B-ORG O B-ORG O
Played Friday :	O O O
Portsmouth 1 Queen 's Park Rangers 2	B-ORG O B-ORG I-ORG I-ORG I-ORG O
Tranmere 3 Grimsby 2	B-ORG O B-ORG O
Playing Sunday :	O O O
Barnsley v Huddersfield	B-ORG O B-ORG
Division two	O O
Brentford 3 Luton 2	B-ORG O B-ORG O
Bristol City v Blackpool late kickoff	B-ORG I-ORG O B-ORG O O
Burnley 2 Walsall 1	B-ORG O B-ORG O
Chesterfield 1 Bury 2	B-ORG O B-ORG O
Peterborough 2 Crewe 2	B-ORG O B-ORG O
Preston 0 Bristol Rovers 0	B-ORG O B-ORG I-ORG O
Rotherham 1 Shrewsbury 2	B-ORG O B-ORG O
Stockport 0 Notts County 0	B-ORG O B-ORG I-ORG O
Watford 0 Millwall 2	B-ORG O B-ORG O
Wrexham 4 Plymouth 4	B-ORG O B-ORG O
Wycombe 1 Gillingham 1	B-ORG O B-ORG O
York 1 Bournemouth 2	B-ORG O B-ORG O
Division three	O O
Barnet 1 Wigan 1	B-ORG O B-ORG O
Cardiff 1 Brighton 0	B-ORG O B-ORG O
Carlisle 0 Hull 0	B-ORG O B-ORG O
Chester 1 Cambridge 1	B-ORG O B-ORG O
Darlington 4 Swansea 1	B-ORG O B-ORG O
Exeter 2 Scarborough 2	B-ORG O B-ORG O
Hartlepool 2 Fulham 1	B-ORG O B-ORG O
Hereford 1 Doncaster 0	B-ORG O B-ORG O
Lincoln 1 Leyton Orient 1	B-ORG O B-ORG I-ORG O
Northampton 3 Mansfield 0	B-ORG O B-ORG O
Rochdale 0 Colchester 0	B-ORG O B-ORG O
Scunthorpe 1 Torquay 0	B-ORG O B-ORG O
Add Division two	O O O
Bristol City 0 Blackpool 1	B-ORG I-ORG O B-ORG O
CRICKET - PAKISTAN 318-2 V ENGLAND -- LUNCH .	O O B-LOC O O B-LOC O O O
LONDON 1996-08-24	B-LOC O
Pakistan were 318 for two at lunch on the third day of the third and final test at The Oval on Saturday in reply to England 's 326 all out .	B-LOC O O O O O O O O O O O O O O O O O B-LOC I-LOC O O O O O B-LOC O O O O O
Score : England 326 ( J. Crawley 106 , G. Thorpe 54 .	O O B-LOC O O B-PER I-PER O O B-PER I-PER O O
Waqar Younis 4-95 ) .	B-PER I-PER O O O
Pakistan 318-2 ( Saeed Anwar 169 not out , Ijaz Ahmed 61 ) .	B-LOC O O B-PER I-PER O O O O B-PER I-PER O O O
TENNIS - RESULTS AT CANADIAN OPEN .	O O O O B-MISC I-MISC O
TORONTO 1996-08-23	B-LOC O
Results from the Canadian Open	O O O B-MISC I-MISC
tennis tournament on Friday ( prefix numbers denotes seedings ) :	O O O O O O O O O O O
Quarterfinals	O
3 - Wayne Ferreira ( South Africa ) beat 5 - Thomas Enqvist	O O B-PER I-PER O B-LOC I-LOC O O O O B-PER I-PER
( Sweden ) 7-5 6-2	O B-LOC O O O
4 - Marcelo Rios ( Chile ) beat Patrick Rafter ( Australia ) 0-6	O O B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O
7-6 ( 7-4 ) 6-1	O O O O O
7 - Todd Martin ( U.S. ) beat Alex O'Brien ( U.S. ) 6-4 6-4	O O B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
Todd Woodbridge ( Australia ) beat Mark Philippoussis	B-PER I-PER O B-LOC O O B-PER I-PER
( Australia ) 7-5 6-4	O B-LOC O O O
RUGBY UNION - NEW ZEALAND WIN FIRST SERIES IN SOUTH AFRICA .	B-ORG I-ORG O B-LOC I-LOC O O O O B-LOC I-LOC O
PRETORIA , South Africa 1996-08-24	B-LOC O B-LOC I-LOC O
New Zealand made history on Saturday when they completed their first series victory in South Africa with a 33-26 victory in the second test .	B-LOC I-LOC O O O O O O O O O O O O B-LOC I-LOC O O O O O O O O O
The win gave the All Blacks an unbeatable 2-0 lead in the three-test series .	O O O O B-ORG I-ORG O O O O O O O O O
Each side scored three tries and the Springboks outscored the All Blacks 15-12 in the second half but still suffered a fourth successive defeat against their old enemies .	O O O O O O O B-ORG O O B-ORG I-ORG O O O O O O O O O O O O O O O O O
Two tries from wing Jeff Wilson in the first quarter gave New Zealand a 24-11 lead before tries from flanker Ruben Kruger and scrum-half Joost van der Westhuizen in the space of two minutes narrowed the gap to a single point at 23-24 .	O O O O B-PER I-PER O O O O O B-LOC I-LOC O O O O O O O B-PER I-PER O O B-PER I-PER I-PER I-PER O O O O O O O O O O O O O O O O
The Springboks would have gone ahead had not fly-half Joel Stransky 's conversion hit an upright and New Zealand only scrambled to safety through a fine penalty from replacement fly-half Jon Preston and a drop goal by number eight Zinzan Brooke .	O B-ORG O O O O O O O B-PER I-PER O O O O O O B-LOC I-LOC O O O O O O O O O O O B-PER I-PER O O O O O O O B-PER I-PER O
RUGBY UNION - NEW ZEALAND DEFEAT SOUTH AFRICA 33-26 .	B-ORG I-ORG O B-LOC I-LOC O B-LOC I-LOC O O
PRETORIA , South Africa 1996-08-24	B-LOC O B-LOC I-LOC O
New Zealand beat South Africa 33-26 ( halftime 21-11 ) in the second test on Saturday .	B-LOC I-LOC O B-LOC I-LOC O O O O O O O O O O O O
Scorers :	O O
South Africa - Tries : Hannes Strydom , Ruben Kruger , Joost van der Westhuizen .	B-LOC I-LOC O O O B-PER I-PER O B-PER I-PER O B-PER I-PER I-PER I-PER O
Penalties : Joel Stranksy ( 3 ) .	O O B-PER I-PER O O O O
Conversion : Stranksy .	O O B-PER O
New Zealand - Tries : Jeff Wilson ( 2 ) , Zinzan Brooke .	B-LOC I-LOC O O O B-PER I-PER O O O O B-PER I-PER O
Penalties : Simon Culhane , Jon Preston ( 2 ) .	O O B-PER I-PER O B-PER I-PER O O O O
Conversions : Culhane ( 3 ) .	O O B-PER O O O O
Drop goal : Zinzan Brooke .	O O O B-PER I-PER O
New Zealand lead the three-test series 2-0 .	B-LOC I-LOC O O O O O O
SOCCER - YUGOSLAV LEAGUE RESULTS / STANDINGS .	O O B-MISC O O O O O
BELGRADE 1996-08-24	B-LOC O
Results of Yugoslav league	O O B-MISC O
soccer matches played on Saturday :	O O O O O O
Division A	O O
Cukaricki 0 Hajduk 2	B-ORG O B-ORG O
Becej 2 Borac 0	B-ORG O B-ORG O
Mladost ( L ) 0 Zemun 0	B-ORG I-ORG I-ORG I-ORG O B-ORG O
Rad 1 Buducnost ( P ) 0	B-ORG O B-ORG I-ORG I-ORG I-ORG O
Standings ( tabulated under played , won , drawn , lost , goals	O O O O O O O O O O O O O
for , against , points ) :	O O O O O O O
Becej 3 2 1 0 5 1 7	B-ORG O O O O O O O
Partizan 2 2 0 0 6 2 6	B-ORG O O O O O O O
Vojvodina 2 2 0 0 4 1 6	B-ORG O O O O O O O
Red Star 2 2 0 0 3 1 6	B-ORG I-ORG O O O O O O O
Mladost ( L ) 3 1 1 1 6 4 4	B-ORG I-ORG I-ORG I-ORG O O O O O O O
Rad 3 1 1 1 2 2 4	B-ORG O O O O O O O
Hajduk 3 1 0 2 3 3 3	B-ORG O O O O O O O
Cukaricki 3 1 0 2 5 6 3	B-ORG O O O O O O O
Buducnost 3 1 0 2 3 5 3	B-ORG O O O O O O O
Zemun 3 0 2 1 2 3 2	B-ORG O O O O O O O
Proleter 2 0 1 1 1 4 1	B-ORG O O O O O O O
Borac 3 0 0 3 0 8 0	B-ORG O O O O O O O
Division B	O O
Sutjeska 3 Sloboda 2	B-ORG O B-ORG O
Loznica 0 Obilic 1	B-ORG O B-ORG O
OFK Kikinda 1 Radnicki ( N ) 0	B-ORG I-ORG O B-ORG I-ORG I-ORG I-ORG O
Spartak 1 Buducnost ( V ) 2	B-ORG O B-ORG I-ORG I-ORG I-ORG O
OFK Beograd 2 Mladost ( BJ ) 2	B-ORG I-ORG O B-ORG I-ORG I-ORG I-ORG O
Standings :	O O
Obilic 3 3 0 0 8 1 9	B-ORG O O O O O O O
Loznica 3 2 0 1 7 3 6	B-ORG O O O O O O O
Sutjeska 3 2 0 1 6 3 6	B-ORG O O O O O O O
OFK Kikinda 3 2 0 1 4 1 6	B-ORG I-ORG O O O O O O O
Buducnost ( V ) 3 2 0 1 4 3 6	B-ORG I-ORG I-ORG I-ORG O O O O O O O
Spartak 3 1 1 1 3 3 4	B-ORG O O O O O O O
Zeleznik 2 1 0 1 4 4 3	B-ORG O O O O O O O
OFK Beograd 3 0 3 1 4 4 3	B-ORG I-ORG O O O O O O O
Radnicki 3 1 0 2 5 6 3	B-ORG O O O O O O O
Sloboda 3 0 1 2 4 8 1	B-ORG O O O O O O O
Mladost ( BJ ) 3 0 1 2 2 6 1	B-ORG I-ORG I-ORG I-ORG O O O O O O O
Rudar 2 0 0 2 0 6 0	B-ORG O O O O O O O
SOCCER - POLISH FIRST DIVISION RESULTS .	O O B-MISC O O O O
WARSAW 1996-08-24	B-LOC O
Results of Polish first division	O O B-MISC O O
soccer matches on Saturday :	O O O O O
Amica Wronki 3 Hutnik Krakow 0	B-ORG I-ORG O B-ORG I-ORG O
Sokol Tychy 5 Lech Poznan 3	B-ORG I-ORG O B-ORG I-ORG O
Rakow Czestochowa 1 Stomil Olsztyn 4	B-ORG I-ORG O B-ORG I-ORG O
Wisla Krakow 1 Gornik Zabrze 0	B-ORG I-ORG O B-ORG I-ORG O
Slask Wroclaw 3 Odra Wodzislaw 1	B-ORG I-ORG O B-ORG I-ORG O
GKS Katowice 1 Polonia Warsaw 0	B-ORG I-ORG O B-ORG I-ORG O
Zaglebie Lubin 2 LKS Lodz 1	B-ORG I-ORG O B-ORG I-ORG O
Legia Warsaw 3 GKS Belchatow 2	B-ORG I-ORG O B-ORG I-ORG O
BASKETBALL - PHILIPPINE PRO-LEAGUE RESULTS .	O O B-MISC O O O
MANILA 1996-08-24	B-LOC O
Results of semi-final round games on Friday in the Philippine Basketball Association second conference , which includes American players :	O O O O O O O O O B-ORG I-ORG I-ORG O O O O O B-MISC O O
Alaska Milk beat Purefoods Hotdogs 103-95 ( 34-48 half-time )	B-ORG I-ORG O B-ORG I-ORG O O O O O
Ginebra San Miguel beat Shell 120-103 ( 65-56 )	B-ORG I-ORG I-ORG O B-ORG O O O O
BASEBALL - RESULTS OF S. KOREAN PRO-BASEBALL GAMES .	O O O O B-MISC I-MISC O O O
SEOUL 1996-08-24	B-LOC O
Results of South Korean	O O B-MISC I-MISC
pro-baseball games played on Friday .	O O O O O O
Samsung 13 Hyundai 3	B-ORG O B-ORG O
Haitai 5 Hanwha 4	B-ORG O B-ORG O
OB 4 Lotte 2	B-ORG O B-ORG O
Ssangbangwool 1 LG 0	B-ORG O B-ORG O
Standings after games played on Friday ( tabulate under won ,	O O O O O O O O O O O
drawn , lost , winning percentage , games behind first place )	O O O O O O O O O O O O
W D L PCT GB	O O O O O
Haitai 62 2 40 .606 -	B-ORG O O O O O
Ssangbangwool 56 2 47 .543 6 1/2	B-ORG O O O O O O
Hanwha 55 1 47 .539 7	B-ORG O O O O O
Hyundai 54 5 47 .533 7 1/2	B-ORG O O O O O O
Samsung 47 5 53 .471 14	B-ORG O O O O O
Lotte 43 5 52 .455 15 1/2	B-ORG O O O O O O
LG 44 5 56 .443 17	B-ORG O O O O O
OB 40 5 59 .407 20 1/2	B-ORG O O O O O O
BASEBALL - MAJOR LEAGUE STANDINGS AFTER FRIDAY 'S GAMES .	O O B-MISC I-MISC O O O O O O
NEW YORK 1996-08-24	B-LOC I-LOC O
Major League Baseball	B-MISC I-MISC I-MISC
standings after games played on Friday ( tabulate under won ,	O O O O O O O O O O O
lost , winning percentage and games behind ) :	O O O O O O O O O
AMERICAN LEAGUE	B-MISC I-MISC
EASTERN DIVISION	B-MISC I-MISC
W L PCT GB	O O O O
NEW YORK 73 54 .575 -	B-ORG I-ORG O O O O
BALTIMORE 67 60 .528 6	B-ORG O O O O
BOSTON 64 65 .496 10	B-ORG O O O O
TORONTO 60 69 .465 14	B-ORG O O O O
DETROIT 46 82 .359 27 1/2	B-ORG O O O O O
CENTRAL DIVISION	B-MISC I-MISC
CLEVELAND 76 52 .594 -	B-ORG O O O O
CHICAGO 69 61 .531 8	B-ORG O O O O
MINNESOTA 64 64 .500 12	B-ORG O O O O
MILWAUKEE 61 68 .473 15 1/2	B-ORG O O O O O
KANSAS CITY 58 72 .446 19	B-ORG I-ORG O O O O
WESTERN DIVISION	B-MISC I-MISC
TEXAS 74 55 .574 -	B-ORG O O O O
SEATTLE 66 61 .520 7	B-ORG O O O O
OAKLAND 62 69 .473 13	B-ORG O O O O
CALIFORNIA 60 68 .469 13 1/2	B-ORG O O O O O
SATURDAY , AUGUST 24TH SCHEDULE	O O O O O
SEATTLE AT BOSTON	B-ORG O B-LOC
MILWAUKEE AT CLEVELAND	B-ORG O B-LOC
CALIFORNIA AT BALTIMORE	B-ORG O B-LOC
TORONTO AT CHICAGO	B-ORG O B-LOC
OAKLAND AT NEW YORK	B-ORG O B-LOC I-LOC
DETROIT AT KANSAS CITY	B-ORG O B-LOC I-LOC
TEXAS AT MINNESOTA	B-ORG O B-LOC
NATIONAL LEAGUE	B-MISC I-MISC
EASTERN DIVISION	B-MISC I-MISC
W L PCT GB	O O O O
ATLANTA 80 47 .630 -	B-ORG O O O O
MONTREAL 69 58 .543 11	B-ORG O O O O
NEW YORK 59 70 .457 22	B-ORG I-ORG O O O O
FLORIDA 59 70 .457 22	B-ORG O O O O
PHILADELPHIA 53 76 .411 28	B-ORG O O O O
CENTRAL DIVISION	B-MISC I-MISC
ST LOUIS 68 60 .531 -	B-ORG I-ORG O O O O
HOUSTON 68 61 .527 1/2	B-ORG O O O O
CINCINNATI 64 63 .504 3 1/2	B-ORG O O O O O
CHICAGO 63 63 .500 4	B-ORG O O O O
PITTSBURGH 55 73 .430 13	B-ORG O O O O
WESTERN DIVISION	B-MISC I-MISC
SAN DIEGO 70 60 .538 -	B-ORG I-ORG O O O O
LOS ANGELES 68 60 .531 1	B-ORG I-ORG O O O O
COLORADO 66 63 .512 3 1/2	B-ORG O O O O O
SAN FRANCISCO 54 72 .429 14	B-ORG I-ORG O O O O
SATURDAY , AUGUST 24TH SCHEDULE	O O O O O
CHICAGO AT ATLANTA	B-ORG O B-LOC
ST LOUIS AT HOUSTON	B-ORG I-ORG O B-LOC
NEW YORK AT LOS ANGELES	B-ORG I-ORG O B-LOC I-LOC
MONTREAL AT SAN FRANCISCO	B-ORG O B-LOC I-LOC
CINCINNATI AT FLORIDA	B-ORG O B-LOC
PITTSBURGH AT COLORADO	B-ORG O B-LOC
PHILADELPHIA AT SAN DIEGO	B-ORG O B-LOC I-LOC
BASEBALL - MAJOR LEAGUE RESULTS FRIDAY .	O O B-MISC I-MISC O O O
NEW YORK 1996-08-24	B-LOC I-LOC O
Results of Major League	O O B-MISC I-MISC
Baseball games played on Friday ( home team in CAPS ) :	O O O O O O O O O O O O
American League	B-MISC I-MISC
BOSTON 6 Seattle 4	B-ORG O B-ORG O
Milwaukee 6 CLEVELAND 5 ( 11 innings )	B-ORG O B-ORG O O O O O
California 2 BALTIMORE 0	B-ORG O B-ORG O
NEW YORK 5 Oakland 3	B-ORG I-ORG O B-ORG O
Toronto 4 CHICAGO 2	B-ORG O B-ORG O
Detroit 3 KANSAS CITY 2	B-ORG O B-ORG I-ORG O
MINNESOTA 9 Texas 2	B-ORG O B-ORG O
National League	B-MISC I-MISC
Cincinnati 6 FLORIDA 5 ( 1ST GM )	B-ORG O B-ORG O O O O O
FLORIDA 8 Cincinnati 3 ( 2ND GM )	B-ORG O B-ORG O O O O O
ATLANTA 4 Chicago 3	B-ORG O B-ORG O
St Louis 1 HOUSTON 0	B-ORG I-ORG O B-ORG O
Pittsburgh 5 COLORADO 3	B-ORG O B-ORG O
LOS ANGELES 7 New York 5	B-ORG I-ORG O B-ORG I-ORG O
Philadelphia 7 SAN DIEGO 4	B-ORG O B-ORG I-ORG O
Montreal 10 SAN FRANCISCO 8	B-ORG O B-ORG I-ORG O
SOCCER - PORTUGUESE FIRST DIVISION RESULT .	O O B-MISC O O O O
LISBON 1996-08-24	B-LOC O
Result of a Portuguese first	O O O B-MISC O
division soccer match on Saturday :	O O O O O O
Belenenses 2 Boavista 4	B-ORG O B-ORG O
SOCCER - DISAPPOINTING AJAX SLUMP 2-0 AT HEERENVEEN .	O O O B-ORG O O O B-LOC O
AMSTERDAM 1996-08-24	B-LOC O
Dutch champions Ajax Amsterdam faltered in their second league match of the season on Saturday losing 2-0 away at Heerenveen .	B-MISC O B-ORG I-ORG O O O O O O O O O O O O O O O B-ORG O
Ajax , who had a dismal series of pre-season results before beating NAC of Breda in their opening game , had the best of an entertaining first half but failed to break the deadlock .	B-ORG O O O O O O O O O O O B-ORG O B-LOC O O O O O O O O O O O O O O O O O O O O
Eight minutes after the interval , Heerenveen 's Romeo Wouden broke through the Amsterdam defence , left defender John Veldman standing and curled the ball beyond goalkeeper Edwin van der Sar into the Ajax net .	O O O O O O B-ORG O B-PER I-PER O O O B-LOC O O O O B-PER I-PER O O O O O O O B-PER I-PER I-PER I-PER O O B-ORG O O
Ajax , without injured defenders Marcio Santos and Winston Bogarde and strikers Jari Litmanen and Marc Overmars , then stepped up the pace and looked certain to equalise .	B-ORG O O O O B-PER I-PER O B-PER I-PER O O B-PER I-PER O B-PER I-PER O O O O O O O O O O O O
But they left gaps at the back and on 73 minutes Danish striker Jon Dahl Tomasson rushed out of his own half , beat the Ajax defence and lobbed van der Sar .	O O O O O O O O O O O B-MISC O B-PER I-PER I-PER O O O O O O O O O B-ORG O O O B-PER I-PER I-PER O
The defeat means Ajax 's main title contenders PSV Eindhoven , who beat the champions 3-0 in the traditional league curtain-raiser , can go three points clear of their rivals if they beat Groningen on Sunday .	O O O B-ORG O O O O B-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O B-ORG O O O
SOCCER - BELGIAN FIRST DIVISION RESULTS .	O O B-MISC O O O O
BRUSSELS 1996-08-24	B-LOC O
Results of Belgian first	O O B-MISC O
division matches on Saturday :	O O O O O
Standard Liege 3 Molenbeek 0	B-ORG I-ORG O B-ORG O
Anderlecht 2 Lokeren 2	B-ORG O B-ORG O
Cercle Brugge 2 Mouscron 2	B-ORG I-ORG O B-ORG O
Antwerp 1 Lommel 4	B-ORG O B-ORG O
Ghent 3 Aalst 2	B-ORG O B-ORG O
Lierse 4 Charleroi 0	B-ORG O B-ORG O
Sint Truiden 3 Ekeren 1	B-ORG I-ORG O B-ORG O
SOCCER - LEADING FRENCH LEAGUE SCORERS .	O O O B-MISC O O O
PARIS 1996-08-24	B-LOC O
Leading goalscorers in the French	O O O O B-MISC
first division after Saturday 's matches :	O O O O O O O
3 - Anto Drobnjak ( Bastia ) , Xavier Gravelaine ( Marseille ) .	O O B-PER I-PER O B-ORG O O B-PER I-PER O B-ORG O O
2 - Miladin Becanovic ( Lille ) , Enzo Scifo ( Monaco ) ,	O O B-PER I-PER O B-ORG O O B-PER I-PER O B-ORG O O
Vladimir Smicer ( Lens ) , Christopher Wreh ( Guingamp ) .	B-PER I-PER O B-ORG O O B-PER I-PER O B-ORG O O
SOCCER - FRENCH LEAGUE SUMMARIES .	O O B-MISC O O O
PARIS 1996-08-24	B-LOC O
Summaries of French first division	O O B-MISC O O
matches on Saturday :	O O O O
Nantes 0 Lens 1 ( Smicer 52nd ) .	B-ORG O B-ORG O O B-PER O O O
Halftime 0-0 .	O O O
Attendance 16,000 .	O O O
Nice 1 ( Debbah 39th ) Bastia 1 ( Drobnjak 82nd ) .	B-ORG O O B-PER O O B-ORG O O B-PER O O O
1-0 .	O O
6,000 .	O O
Lille 3 ( Boutoille 47th , Becanovic 79th pen , 82nd ) ) Rennes 1	B-ORG O O B-PER O O B-PER O O O O O O B-ORG O
( Guivarc'h 60th pen .	O B-PER O O O
) 0-0 .	O O O
6,000 .	O O
Bordeaux 0 Auxerre 0 .	B-ORG O B-ORG O O
30,000 .	O O
Marseille 1 ( Gravelaine 24th ) Metz 2 ( Traore 65th , Bombarda	B-ORG O O B-PER O O B-ORG O O B-PER O O B-PER
69th ) .	O O O
1-0 .	O O
20,000 .	O O
Strasbourg 1 ( Zitelli 80th ) Le Havre 0 .	B-ORG O O B-PER O O B-ORG I-ORG O O
0-0 .	O O
15,000	O
Caen 1 ( Bancarel 70th ) Lyon 1 ( Caveglia 89th ) .	B-ORG O O B-PER O O B-ORG O O B-PER O O O
0-0 .	O O
9,000 .	O O
Guingamp 2 ( Wreh 15th , 42nd ) Monaco 1 ( Scifo 35th ) .	B-ORG O O B-PER O O O O B-ORG O O B-PER O O O
2-1 .	O O
7,000 .	O O
Montpellier 0 Cannes 1 ( Charvet 8th ) .	B-ORG O B-ORG O O B-PER O O O
0-1 .	O O
10,000 .	O O
Played on Friday :	O O O O
Nancy 0 Paris St Germain 0 .	B-ORG O B-ORG I-ORG I-ORG O O
15,000 .	O O
SOCCER - FRENCH LEAGUE STANDINGS .	O O B-MISC O O O
PARIS 1996-08-24	B-LOC O
Standings in the French soccer	O O O B-MISC O
league after Saturday 's matches ( tabulate under played , won ,	O O O O O O O O O O O O
drawn , lost , goals for , goals against , points ) :	O O O O O O O O O O O O O
Lens 3 3 0 0 6 1 9	B-ORG O O O O O O O
Bastia 3 2 1 0 4 1 7	B-ORG O O O O O O O
Paris Saint-Germain 3 2 1 0 3 0 7	B-ORG I-ORG O O O O O O O
Auxerre 3 2 1 0 3 0 7	B-ORG O O O O O O O
Cannes 3 2 1 0 4 2 7	B-ORG O O O O O O O
Lille 3 2 0 1 4 3 6	B-ORG O O O O O O O
Bordeaux 3 1 2 0 2 1 5	B-ORG O O O O O O O
Monaco 3 1 1 1 5 3 4	B-ORG O O O O O O O
Marseille 3 1 1 1 5 4 4	B-ORG O O O O O O O
Metz 3 1 1 1 3 3 4	B-ORG O O O O O O O
Lyon 3 1 1 1 4 4 4	B-ORG O O O O O O O
Guingamp 3 1 1 1 2 2 4	B-ORG O O O O O O O
Rennes 3 1 0 2 4 6 3	B-ORG O O O O O O O
Strasbourg 3 1 0 2 1 3 3	B-ORG O O O O O O O
Montpellier 3 0 2 1 1 2 2	B-ORG O O O O O O O
Nantes 3 0 1 2 2 5 1	B-ORG O O O O O O O
Nancy 3 0 1 2 2 5 1	B-ORG O O O O O O O
Nice 3 0 1 2 2 5 1	B-ORG O O O O O O O
Le Havre 3 0 1 1 1 3 1	B-ORG I-ORG O O O O O O O
Caen 3 0 1 2 1 5 1	B-ORG O O O O O O O
SOCCER - FRENCH LEAGUE RESULTS .	O O B-MISC O O O
PARIS 1996-08-24	B-LOC O
Results of French first division	O O B-MISC O O
matches on Saturday :	O O O O
Nantes 0 Lens 1	B-ORG O B-ORG O
Nice 1 Bastia 1	B-ORG O B-ORG O
Lille 3 Rennes 1	B-ORG O B-ORG O
Bordeaux 0 Auxerre 0	B-ORG O B-ORG O
Marseille 1 Metz 2	B-ORG O B-ORG O
Strasbourg 1 Le Havre 0	B-ORG O B-ORG I-ORG O
Caen 1 Lyon 1	B-ORG O B-ORG O
Guingamp 2 Monaco 1	B-ORG O B-ORG O
Montpellier 0 Cannes 1	B-ORG O B-ORG O
Played on Friday :	O O O O
Nancy 0 Paris St Germain 0	B-ORG O B-ORG I-ORG I-ORG O
SOCCER - DUTCH FIRST DIVISION RESULTS / STANDINGS .	O O B-MISC O O O O O O
AMSTERDAM 1996-08-24	B-LOC O
Result of Dutch first division	O O B-MISC O O
soccer match played on Saturday :	O O O O O O
Graafschap Doetinchem 3 RKC Waalwijk 2	B-ORG I-ORG O B-ORG I-ORG O
Willem II Tilburg 0 Fortuna Sittard 1	B-ORG I-ORG I-ORG O B-ORG I-ORG O
NAC Breda 1 Sparta Rotterdam 0	B-ORG I-ORG O B-ORG I-ORG O
Heerenveen 2 Ajax Amsterdam 0	B-ORG O B-ORG I-ORG O
Standings ( tabulated under played , won , drawn , lost , goals	O O O O O O O O O O O O O
for , against , points ) :	O O O O O O O
Graafschap Doetinchem 2 1 1 0 4 3 4	B-ORG I-ORG O O O O O O O
Fortuna Sittard 2 1 1 0 1 0 4	B-ORG I-ORG O O O O O O O
PSV Eindhoven 1 1 0 0 4 1 3	B-ORG I-ORG O O O O O O O
Twente Enschede 1 1 0 0 3 1 3	B-ORG I-ORG O O O O O O O
Vitesse Arnhem 1 1 0 0 2 0 3	B-ORG I-ORG O O O O O O O
Heerenveen 2 1 0 1 3 3 3	B-ORG O O O O O O O
NAC Breda 2 1 0 1 1 1 3	B-ORG I-ORG O O O O O O O
Ajax Amsterdam 2 1 0 1 1 2 3	B-ORG I-ORG O O O O O O O
Utrecht 1 0 1 0 2 2 1	B-ORG O O O O O O O
Feyenoord Rotterdam 1 0 1 0 1 1 1	B-ORG I-ORG O O O O O O O
Roda JC Kerkrade 1 0 1 0 1 1 1	B-ORG I-ORG I-ORG O O O O O O O
Volendam 1 0 1 0 1 1 1	B-ORG O O O O O O O
Groningen 1 0 1 0 0 0 1	B-ORG O O O O O O O
RKC Waalwijk 2 0 1 1 4 5 1	B-ORG I-ORG O O O O O O O
Sparta Rotterdam 2 0 1 1 0 1 1	B-ORG I-ORG O O O O O O O
Willem II Tilburg 2 0 1 1 0 1 1	B-ORG I-ORG I-ORG O O O O O O O
AZ Alkmaar 1 0 0 1 0 2 0	B-ORG I-ORG O O O O O O O
NEC Nijmegen 1 0 0 1 1 4 0	B-ORG I-ORG O O O O O O O
SOCCER - SUMMARIES OF GERMAN FIRST DIVISION MATCHES .	O O O O B-MISC O O O O
BONN 1996-08-24	B-LOC O
Summaries of German first division	O O B-MISC O O
matches played on Saturday :	O O O O O
Bochum 1 ( Jack 66th minute ) Arminia Bielefeld 1 ( Molata 59th ) .	B-ORG O O B-PER O O O B-ORG I-ORG O O B-PER O O O
Halftime 0-0 .	O O O
Attendance 25,000	O O
Borussia Moenchengladbach 1 ( Andersson 22nd ) Karlsruhe 3	B-ORG I-ORG O O B-PER O O B-ORG O
( Haessler 33rd , Dundee 45th , Keller 90th ) .	O B-PER O O B-PER O O B-PER O O O
1-2 .	O O
20,000	O
Stuttgart 2 ( Balakow 50th , Bobic 61st ) Werder Bremen 1 ( Votava	B-ORG O O B-PER O O B-PER O O B-ORG I-ORG O O B-PER
68th ) .	O O O
0-0 .	O O
32,000	O
1860 Munich 1 ( Schwabl 38th ) Borussia Dortmund 3 ( Zorc	B-ORG I-ORG O O B-PER O O B-ORG I-ORG O O B-PER
59th-pen , Moeller 73rd , Heinrich 90th ) .	O O B-PER O O B-PER O O O
1-0 .	O O
50,000	O
Bayer Leverkusen 0 Fortuna Duesseldorf 1 ( Seeliger 47th ) .	B-ORG I-ORG O B-ORG I-ORG O O B-PER O O O
0-0 .	O O
18,000	O
Freiburg 1 ( Zeyer 52nd ) Cologne 3 ( Gaissmayer 9th , Polster	B-ORG O O B-PER O O B-ORG O O B-PER O O B-PER
86th , 90th ) .	O O O O O
0-1 .	O O
22,500	O
SOCCER - RESULTS OF GERMAN FIRST DIVISION MATCHES .	O O O O B-MISC O O O O
BONN 1996-08-24	B-LOC O
Results of German first division	O O B-MISC O O
soccer matches played on Saturday :	O O O O O O
Bochum 1 Arminia Bielefeld 1	B-ORG O B-ORG I-ORG O
Borussia Moenchengladbach 1 Karlsruhe 3	B-ORG I-ORG O B-ORG O
Stuttgart 2 Werder Bremen 1	B-ORG O B-ORG I-ORG O
1860 Munich 1 Borussia Dortmund 3	B-ORG I-ORG O B-ORG I-ORG O
Bayer Leverkusen 0 Fortuna Duesseldorf 1	B-ORG I-ORG O B-ORG I-ORG O
Freiburg 1 Cologne 3	B-ORG O B-ORG O
